cmId	name	location	years
1	World Wrestling Entertainment	Stamford, Connecticut, USA	1948-
2	World Championship Wrestling	Atlanta, Georgia, USA	1988-2001
3	Extreme Championship Wrestling	Philadelphia, Pennsylvania, USA	1992-2001
14	Combat Zone Wrestling	Philadelphia, Pennsylvania, USA	1999-
710	Game Changer Wrestling	Howell, New Jersey, USA	1999-
9	National Wrestling Alliance	USA	1948-
10	IWA Mid-South	Jeffersonville, Indiana, USA	1996-2022
11	Ohio Valley Wrestling	Louisville, Kentucky, USA	1996-
39	Xtreme Pro Wrestling	Rochester, New York, USA	1999-2024
41	American Wrestling Association	Minneapolis, Minnesota, USA	1933-1991
32	Smoky Mountain Wrestling	Morristown, Tennessee, USA	1991-1995
316	Juggalo Championship Wrestling	Detroit, Michigan, USA	1999-
300	Universal Wrestling Federation	Marina del Rey, California, USA	1990-1994
293	Jim Crockett Promotions	Charlotte, North Carolina, USA	1931-1988
62	World Class Wrestling Association	Dallas, Texas, USA	1940-1991
30	Jersey All Pro Wrestling	Rahway, New Jersey, USA	1997-2018
152	MCW Pro Wrestling	Joppa, Maryland, USA	1998-
303	Organization Of Modern Extreme Grappling Arts	Cameron, North Carolina, USA	1997-2017
111	Continental Wrestling Association	Memphis, Tennessee, USA	1977-1989
79	Deep South Wrestling	McDonough, Georgia, USA	1986-
24	All Pro Wrestling	Hayward, California, USA	1995-2024
52	World Wrestling Council	San Juan, Puerto Rico, USA	1973-
352	Northeast Wrestling	Cornwall-on-Hudson, New York, USA	1996-
64	Universal Wrestling Federation	Oklahoma City, Oklahoma, USA	1953-1987
1024	Kaiju Big Battel	New York City, New York, USA	1995-
21	East Coast Wrestling Association	Morganville, New Jersey, USA	1967-
237	Ultimate Pro Wrestling	Santa Ana, California, USA	1998-2007
20	Revolution Pro Wrestling	City Of Industry, California, USA	1999-2004
51	International Wrestling Association Puerto Rico	Puerto Rico, USA	1994-
288	American Wrestling Federation	Chicago, Illinois, USA	1994-1996
84	Global Wrestling Federation	Dallas, Texas, USA	1991-1994
63	United States Wrestling Association	Memphis, Tennessee, USA	1989-1997
336	Xpress Wrestling	McKeesport, Pennsylvania, USA	1995-
1838	2KW Pro Wrestling	New York City, New York, USA	1999-2016
3069	AIWF Mid Atlantic Wrestling	Mount Airy, North Carolina, USA	1992-
2150	Ad Santel Promotions	Oakland, California, USA	1931-1961
2253	Al Mayer Booking Agency	New York City, New York, USA	1936-1952
2035	All American Wrestling	Eau Claire, Wisconsin, USA	1998-2002
2058	All American Wrestling	Swarthmore, Pennsylvania, USA	1997-1999
2333	All Pro Wrestling	Tennessee, USA	1994-1999
4437	All Pro Wrestling	Jeffersonville, Indiana, USA	1990-
